Time,FL Speed,FR Speed,FA Speed,RL Speed,RR Speed,RA Speed,dA Speed,dA* Speed,Distance,Average Acceleration,Steering Angle,Steering Speed,TCS OFF Switch,TCS OFF Status,TCS Action,ABD Action,ABS Pump,RPM,APP,TPS,ECT,IAT,ECT offset,Brake On,Fan State,Torque ABS1,Torque ABS2,Torque ECM1,Torque ECM3,ABS Sensors Failure,Speed Stage,Distance Stage,Current Gear,Shift Light,Emergency Blinker,
2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.72,0,3,101,70,0,0,3,250,250,35,43,0,0,0,0,0,0,
2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.61,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,1,0,1,0,0,0,9.42,0,3,101,70,0,0,3,250,250,40,43,0,0,0,0,0,0,
2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.36,0,3,101,70,0,0,3,250,250,39,43,0,0,0,0,0,0,
2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.44,0,3,101,70,0,0,3,250,250,38,43,0,0,0,0,0,0,
2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.42,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.51,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.50,0,3,101,70,0,0,3,250,250,35,43,0,0,0,0,0,0,
3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.43,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.38,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.26,0,3,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.11,0,2,101,70,0,0,3,250,250,36,43,0,0,0,0,0,0,
3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.11,0,2,101,70,0,0,3,250,250,37,43,0,0,0,0,0,0,
3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.01,0,2,101,70,0,0,3,250,250,39,44,0,0,0,0,0,0,
3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.98,0,2,101,70,0,0,3,250,250,38,44,0,0,0,0,0,0,
3.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.03,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.04,0,2,101,70,0,0,3,250,250,35,44,0,0,0,0,0,0,
3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,9.00,0,2,101,70,0,0,3,250,250,35,44,0,0,0,0,0,0,
3.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.90,0,2,101,70,0,0,3,250,250,35,43,0,0,0,0,0,0,
3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.86,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.81,0,2,101,70,0,0,3,250,250,35,44,0,0,0,0,0,0,
3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.81,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.71,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.64,0,2,101,70,0,0,3,250,250,37,44,0,0,0,0,0,0,
3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.60,0,2,101,70,0,0,3,250,250,38,44,0,0,0,0,0,0,
3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.57,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.57,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.52,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.48,0,2,101,70,0,0,3,250,250,35,44,0,0,0,0,0,0,
3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.48,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.39,0,2,101,70,0,0,3,250,250,36,44,0,0,0,0,0,0,
3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.27,0,2,101,70,0,0,3,250,250,39,44,0,0,0,0,0,0,
3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65,0,0,1,0,0,0,8.18,0,2,101,70,0,0,3,250,250,39,44,0,0,0,0,0,0,
